host_monotonic_s,session_id,command_sequence,applied_sequence,state,reject_reason,command_age_ms,ack_latency_ms,rssi_dbm,response_mask,leader_0,leader_1,leader_2,leader_3,leader_4,leader_5,target_0,target_1,target_2,target_3,target_4,target_5,measured_0,measured_1,measured_2,measured_3,measured_4,measured_5,leader_boot_session_id,leader_sample_sequence,leader_sample_gap_ms,leader_sample_age_ms,leader_response_mask,leader_model_mask,leader_torque_off_mask,leader_calibration_crc32,leader_read_errors,leader_torque_errors,leader_rssi_dbm,leader_recovery_count,control_chain_ack_latency_ms
10502.882291544,1890068650,17,16,1,0,15,66.18773199988937,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,457,33.26161500081071,0.323283000398078,63,63,63,2637611057,0,0,-35,0,66.61688299936941
10502.915467177,1890068650,18,18,1,0,5,32.722538999223616,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,461,33.66224900128145,0.304638999296003,63,63,63,2637611057,0,0,-35,0,33.1238549988484
10502.982134572,1890068650,20,19,1,0,19,66.26035699991917,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,463,33.164094000312616,0.28996099899814,63,63,63,2637611057,0,0,-35,0,66.62715599850344
10503.015388373,1890068650,21,21,1,0,5,32.843671999216895,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,466,33.39646099993843,0.2962359994853614,63,63,63,2637611057,0,0,-35,0,33.21021599913365
10503.082338582,1890068650,23,22,1,0,17,66.54829100079951,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,468,33.24903399879986,0.2940970007330179,63,63,63,2637611057,0,0,-35,0,66.91139100075816
10503.115701735,1890068650,24,23,1,0,38,66.17894800001523,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,469,33.54507900075987,0.4055989993503317,63,63,63,2637611057,0,0,-35,0,66.72946499929822
10503.182169464,1890068650,26,25,1,0,19,65.98744500115572,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,472,33.35681299904536,0.32066200037661474,63,63,63,2637611057,0,0,-35,0,66.42131000080553
10503.215677303,1890068650,27,26,1,0,33,66.30219600083365,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,474,33.20167600031709,0.32556500082137063,63,63,63,2637611057,0,0,-35,0,66.72747300035553
10503.282358629,1890068650,29,28,1,0,19,66.19659100033459,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,478,33.48622900011833,0.3334520006319508,63,63,63,2637611057,0,0,-35,0,66.635655999562
10503.315451767,1890068650,30,30,1,0,3,32.62104699933843,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,481,33.68477200092457,0.3165319994877791,63,63,63,2637611057,0,0,-35,0,33.04665899850079
10503.382322949,1890068650,32,31,1,0,19,66.42067600114387,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,483,33.091211998907966,0.306334000924835,63,63,63,2637611057,0,0,-35,0,66.82662900129799
10503.415533525,1890068650,33,33,1,0,3,32.76099799950316,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,486,33.677440998872044,0.30252200122049544,63,63,63,2637611057,0,0,-35,0,33.163869000418345
10503.449035961,1890068650,34,34,1,0,17,33.07533200131729,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,488,33.21200400023372,0.29267900026752613,63,63,63,2637611057,0,0,-35,0,33.45430100125668
10503.51536909,1890068650,36,36,1,0,5,32.626721000269754,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,491,33.17734200027189,0.368144999811193,63,63,63,2637611057,0,0,-35,0,33.110188000136986
10503.582371245,1890068650,38,37,1,0,19,66.5408099994238,-42,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,493,33.19160299906798,0.2912230011133943,63,63,63,2637611057,0,0,-35,0,66.92074000056891
