host_monotonic_s,session_id,command_sequence,applied_sequence,state,reject_reason,command_age_ms,ack_latency_ms,rssi_dbm,response_mask,leader_0,leader_1,leader_2,leader_3,leader_4,leader_5,target_0,target_1,target_2,target_3,target_4,target_5,measured_0,measured_1,measured_2,measured_3,measured_4,measured_5
24050.156130805,3597147943,33,32,1,0,9,66.89854100113735,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24050.25626201,3597147943,36,35,1,0,11,66.90322799840942,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24050.355971007,3597147943,39,38,1,0,13,66.63088800269179,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24050.455962455,3597147943,42,41,1,0,8,66.70285599830095,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24050.556012697,3597147943,45,44,1,0,13,66.70779900014168,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24050.655930925,3597147943,48,47,1,0,9,66.61172099848045,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24050.755968196,3597147943,51,50,1,0,3,66.59822200163035,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24050.855959102,3597147943,54,52,1,0,45,99.76159300276777,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24050.956042838,3597147943,57,56,1,0,9,66.66705199677381,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24051.056169633,3597147943,60,59,1,0,10,66.60489799833158,-39,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
